,Type,variable_1,Description,path,variable_2
357,BAR,Parking_Assistance,"Among Parking_Assistance , Auto-Dimming_Rear-View_Mirror is available in most number of Rear sensors with camera and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view.",./static/img/BAR/Parking_Assistance_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
358,BAR,Parking_Assistance,"Among Parking_Assistance , Navigation_System is available in most number of Rear sensors with camera and least available in Rear sensors with camera, Rear sensors.",./static/img/BAR/Parking_Assistance_Navigation_System.png,Navigation_System
359,BAR,Parking_Assistance,"Among Parking_Assistance , Second_Row_AC_Vents is available in most number of Rear sensors with camera and least available in Rear sensors, Front sensors.",./static/img/BAR/Parking_Assistance_Second_Row_AC_Vents.png,Second_Row_AC_Vents
360,BAR,Parking_Assistance,"Among Parking_Assistance , Rain_Sensing_Wipers is available in most number of Front and rear sensors with camera and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view.",./static/img/BAR/Parking_Assistance_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
361,BAR,Ex-Showroom_Price(Rs),"On dividing Ex-Showroom_Price(Rs) into categories , Central_Locking is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Ex-Showroom_Price(Rs)_Central_Locking.png,Central_Locking
362,BAR,Ex-Showroom_Price(Rs),"On dividing Ex-Showroom_Price(Rs) into categories , Auto-Dimming_Rear-View_Mirror is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Ex-Showroom_Price(Rs)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
363,BAR,Ex-Showroom_Price(Rs),"On dividing Ex-Showroom_Price(Rs) into categories , Navigation_System is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Ex-Showroom_Price(Rs)_Navigation_System.png,Navigation_System
364,BAR,Ex-Showroom_Price(Rs),"On dividing Ex-Showroom_Price(Rs) into categories , Second_Row_AC_Vents is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Ex-Showroom_Price(Rs)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
365,BAR,Ex-Showroom_Price(Rs),"On dividing Ex-Showroom_Price(Rs) into categories , Rain_Sensing_Wipers is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Ex-Showroom_Price(Rs)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
366,BAR,Cylinders,"On dividing Cylinders into categories , Central_Locking is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Cylinders_Central_Locking.png,Central_Locking
367,BAR,Cylinders,"On dividing Cylinders into categories , Auto-Dimming_Rear-View_Mirror is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Cylinders_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
368,BAR,Cylinders,"On dividing Cylinders into categories , Navigation_System is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Cylinders_Navigation_System.png,Navigation_System
369,BAR,Cylinders,"On dividing Cylinders into categories , Second_Row_AC_Vents is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Cylinders_Second_Row_AC_Vents.png,Second_Row_AC_Vents
370,BAR,Cylinders,"On dividing Cylinders into categories , Rain_Sensing_Wipers is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Cylinders_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
371,BAR,Height(mm),"On dividing Height(mm) into categories , Central_Locking is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Height(mm)_Central_Locking.png,Central_Locking
372,BAR,Height(mm),"On dividing Height(mm) into categories , Auto-Dimming_Rear-View_Mirror is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Height(mm)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
373,BAR,Height(mm),"On dividing Height(mm) into categories , Navigation_System is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Height(mm)_Navigation_System.png,Navigation_System
374,BAR,Height(mm),"On dividing Height(mm) into categories , Second_Row_AC_Vents is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Height(mm)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
375,BAR,Height(mm),"On dividing Height(mm) into categories , Rain_Sensing_Wipers is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Height(mm)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
376,BAR,Length(mm),"On dividing Length(mm) into categories , Central_Locking is readily available in High category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Length(mm)_Central_Locking.png,Central_Locking
377,BAR,Length(mm),"On dividing Length(mm) into categories , Auto-Dimming_Rear-View_Mirror is readily available in High category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Length(mm)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
378,BAR,Length(mm),"On dividing Length(mm) into categories , Navigation_System is readily available in High category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Length(mm)_Navigation_System.png,Navigation_System
379,BAR,Length(mm),"On dividing Length(mm) into categories , Second_Row_AC_Vents is readily available in High category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Length(mm)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
380,BAR,Length(mm),"On dividing Length(mm) into categories , Rain_Sensing_Wipers is readily available in High category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Length(mm)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
381,BAR,Width(mm),"On dividing Width(mm) into categories , Central_Locking is readily available in High category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Width(mm)_Central_Locking.png,Central_Locking
382,BAR,Width(mm),"On dividing Width(mm) into categories , Auto-Dimming_Rear-View_Mirror is readily available in High category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Width(mm)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
383,BAR,Width(mm),"On dividing Width(mm) into categories , Navigation_System is readily available in High category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Width(mm)_Navigation_System.png,Navigation_System
384,BAR,Width(mm),"On dividing Width(mm) into categories , Second_Row_AC_Vents is readily available in High category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Width(mm)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
385,BAR,Width(mm),"On dividing Width(mm) into categories , Rain_Sensing_Wipers is readily available in High category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Width(mm)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
386,BAR,City_Mileage(km_per_litre),"On dividing City_Mileage(km_per_litre) into categories , Central_Locking is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/City_Mileage(km_per_litre)_Central_Locking.png,Central_Locking
387,BAR,City_Mileage(km_per_litre),"On dividing City_Mileage(km_per_litre) into categories , Auto-Dimming_Rear-View_Mirror is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/City_Mileage(km_per_litre)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
388,BAR,City_Mileage(km_per_litre),"On dividing City_Mileage(km_per_litre) into categories , Navigation_System is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/City_Mileage(km_per_litre)_Navigation_System.png,Navigation_System
389,BAR,City_Mileage(km_per_litre),"On dividing City_Mileage(km_per_litre) into categories , Second_Row_AC_Vents is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/City_Mileage(km_per_litre)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
390,BAR,City_Mileage(km_per_litre),"On dividing City_Mileage(km_per_litre) into categories , Rain_Sensing_Wipers is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/City_Mileage(km_per_litre)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
391,BAR,Ground_Clearance(mm),"On dividing Ground_Clearance(mm) into categories , Central_Locking is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Ground_Clearance(mm)_Central_Locking.png,Central_Locking
392,BAR,Ground_Clearance(mm),"On dividing Ground_Clearance(mm) into categories , Auto-Dimming_Rear-View_Mirror is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Ground_Clearance(mm)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
393,BAR,Ground_Clearance(mm),"On dividing Ground_Clearance(mm) into categories , Navigation_System is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Ground_Clearance(mm)_Navigation_System.png,Navigation_System
394,BAR,Ground_Clearance(mm),"On dividing Ground_Clearance(mm) into categories , Second_Row_AC_Vents is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Ground_Clearance(mm)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
395,BAR,Ground_Clearance(mm),"On dividing Ground_Clearance(mm) into categories , Rain_Sensing_Wipers is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Ground_Clearance(mm)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
396,BAR,Seating_Capacity,"On dividing Seating_Capacity into categories , Central_Locking is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Seating_Capacity_Central_Locking.png,Central_Locking
397,BAR,Seating_Capacity,"On dividing Seating_Capacity into categories , Auto-Dimming_Rear-View_Mirror is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Seating_Capacity_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
398,BAR,Seating_Capacity,"On dividing Seating_Capacity into categories , Navigation_System is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Seating_Capacity_Navigation_System.png,Navigation_System
399,BAR,Seating_Capacity,"On dividing Seating_Capacity into categories , Second_Row_AC_Vents is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Seating_Capacity_Second_Row_AC_Vents.png,Second_Row_AC_Vents
400,BAR,Seating_Capacity,"On dividing Seating_Capacity into categories , Rain_Sensing_Wipers is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Seating_Capacity_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
401,BAR,Wheelbase,"On dividing Wheelbase into categories , Central_Locking is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Wheelbase_Central_Locking.png,Central_Locking
402,BAR,Wheelbase,"On dividing Wheelbase into categories , Auto-Dimming_Rear-View_Mirror is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Wheelbase_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
403,BAR,Wheelbase,"On dividing Wheelbase into categories , Navigation_System is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Wheelbase_Navigation_System.png,Navigation_System
404,BAR,Wheelbase,"On dividing Wheelbase into categories , Second_Row_AC_Vents is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Wheelbase_Second_Row_AC_Vents.png,Second_Row_AC_Vents
405,BAR,Wheelbase,"On dividing Wheelbase into categories , Rain_Sensing_Wipers is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Wheelbase_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
406,BAR,Minimum_Turning_Radius(meter),"On dividing Minimum_Turning_Radius(meter) into categories , Central_Locking is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Minimum_Turning_Radius(meter)_Central_Locking.png,Central_Locking
407,BAR,Minimum_Turning_Radius(meter),"On dividing Minimum_Turning_Radius(meter) into categories , Auto-Dimming_Rear-View_Mirror is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Minimum_Turning_Radius(meter)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
408,BAR,Minimum_Turning_Radius(meter),"On dividing Minimum_Turning_Radius(meter) into categories , Navigation_System is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Minimum_Turning_Radius(meter)_Navigation_System.png,Navigation_System
409,BAR,Minimum_Turning_Radius(meter),"On dividing Minimum_Turning_Radius(meter) into categories , Second_Row_AC_Vents is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Minimum_Turning_Radius(meter)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
410,BAR,Minimum_Turning_Radius(meter),"On dividing Minimum_Turning_Radius(meter) into categories , Rain_Sensing_Wipers is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Minimum_Turning_Radius(meter)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
411,BAR,Number_of_Airbags,"On dividing Number_of_Airbags into categories , Central_Locking is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Number_of_Airbags_Central_Locking.png,Central_Locking
412,BAR,Number_of_Airbags,"On dividing Number_of_Airbags into categories , Auto-Dimming_Rear-View_Mirror is readily available in Low category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Number_of_Airbags_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
413,BAR,Number_of_Airbags,"On dividing Number_of_Airbags into categories , Navigation_System is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Number_of_Airbags_Navigation_System.png,Navigation_System
414,BAR,Number_of_Airbags,"On dividing Number_of_Airbags into categories , Second_Row_AC_Vents is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Number_of_Airbags_Second_Row_AC_Vents.png,Second_Row_AC_Vents
415,BAR,Number_of_Airbags,"On dividing Number_of_Airbags into categories , Rain_Sensing_Wipers is readily available in Medium category and least available in Front and rear sensors with camera, Front & rear sensors with 360 degree view category.",./static/img/BAR/Number_of_Airbags_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
416,BOX,Ex-Showroom_Price(Rs),"For cars with feature Central_Locking,the mean Ex-Showroom_Price(Rs) is 4800388.522626442 and for the rest of the cars mean Ex-Showroom_Price(Rs) is 3054660.932885906.",./static/img/BOX/Ex-Showroom_Price(Rs)_Central_Locking.png,Central_Locking
417,BOX,Ex-Showroom_Price(Rs),"For cars with feature Auto-Dimming_Rear-View_Mirror,the mean Ex-Showroom_Price(Rs) is 3125790.3948170734 and for the rest of the cars mean Ex-Showroom_Price(Rs) is 6152683.620967742.",./static/img/BOX/Ex-Showroom_Price(Rs)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
418,BOX,Ex-Showroom_Price(Rs),"For cars with feature Navigation_System,the mean Ex-Showroom_Price(Rs) is 7743341.257686676 and for the rest of the cars mean Ex-Showroom_Price(Rs) is 972142.0994940978.",./static/img/BOX/Ex-Showroom_Price(Rs)_Navigation_System.png,Navigation_System
419,BOX,Ex-Showroom_Price(Rs),"For cars with feature Second_Row_AC_Vents,the mean Ex-Showroom_Price(Rs) is 5327384.651335311 and for the rest of the cars mean Ex-Showroom_Price(Rs) is 3778280.8787375414.",./static/img/BOX/Ex-Showroom_Price(Rs)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
420,BOX,Ex-Showroom_Price(Rs),"For cars with feature Rain_Sensing_Wipers,the mean Ex-Showroom_Price(Rs) is 10216049.665271966 and for the rest of the cars mean Ex-Showroom_Price(Rs) is 1230464.4160401002.",./static/img/BOX/Ex-Showroom_Price(Rs)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
421,BOX,Cylinders,"For cars with feature Central_Locking,the mean Cylinders is 4.42058562555457 and for the rest of the cars mean Cylinders is 3.912751677852349.",./static/img/BOX/Cylinders_Central_Locking.png,Central_Locking
422,BOX,Cylinders,"For cars with feature Auto-Dimming_Rear-View_Mirror,the mean Cylinders is 4.1189024390243905 and for the rest of the cars mean Cylinders is 4.617741935483871.",./static/img/BOX/Cylinders_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
423,BOX,Cylinders,"For cars with feature Navigation_System,the mean Cylinders is 4.8843338213762815 and for the rest of the cars mean Cylinders is 3.7588532883642496.",./static/img/BOX/Cylinders_Navigation_System.png,Navigation_System
424,BOX,Cylinders,"For cars with feature Second_Row_AC_Vents,the mean Cylinders is 4.63946587537092 and for the rest of the cars mean Cylinders is 4.04983388704319.",./static/img/BOX/Cylinders_Second_Row_AC_Vents.png,Second_Row_AC_Vents
425,BOX,Cylinders,"For cars with feature Rain_Sensing_Wipers,the mean Cylinders is 5.328451882845188 and for the rest of the cars mean Cylinders is 3.781954887218045.",./static/img/BOX/Cylinders_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
426,BOX,Height(mm),"For cars with feature Central_Locking,the mean Height(mm) is 1582.740767524401 and for the rest of the cars mean Height(mm) is 1654.275167785235.",./static/img/BOX/Height(mm)_Central_Locking.png,Central_Locking
427,BOX,Height(mm),"For cars with feature Auto-Dimming_Rear-View_Mirror,the mean Height(mm) is 1591.5045731707316 and for the rest of the cars mean Height(mm) is 1590.6594274193549.",./static/img/BOX/Height(mm)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
428,BOX,Height(mm),"For cars with feature Navigation_System,the mean Height(mm) is 1588.6805929721816 and for the rest of the cars mean Height(mm) is 1593.8735244519394.",./static/img/BOX/Height(mm)_Navigation_System.png,Navigation_System
429,BOX,Height(mm),"For cars with feature Second_Row_AC_Vents,the mean Height(mm) is 1608.622915430267 and for the rest of the cars mean Height(mm) is 1571.4684385382059.",./static/img/BOX/Height(mm)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
430,BOX,Height(mm),"For cars with feature Rain_Sensing_Wipers,the mean Height(mm) is 1568.698420502092 and for the rest of the cars mean Height(mm) is 1604.5087719298247.",./static/img/BOX/Height(mm)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
431,BOX,Length(mm),"For cars with feature Central_Locking,the mean Length(mm) is 4335.84262644188 and for the rest of the cars mean Length(mm) is 4002.2080536912754.",./static/img/BOX/Length(mm)_Central_Locking.png,Central_Locking
432,BOX,Length(mm),"For cars with feature Auto-Dimming_Rear-View_Mirror,the mean Length(mm) is 4230.225609756098 and for the rest of the cars mean Length(mm) is 4367.412322580645.",./static/img/BOX/Length(mm)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
433,BOX,Length(mm),"For cars with feature Navigation_System,the mean Length(mm) is 4485.566090775988 and for the rest of the cars mean Length(mm) is 4079.564924114671.",./static/img/BOX/Length(mm)_Navigation_System.png,Navigation_System
434,BOX,Length(mm),"For cars with feature Second_Row_AC_Vents,the mean Length(mm) is 4547.086053412463 and for the rest of the cars mean Length(mm) is 4016.7568770764124.",./static/img/BOX/Length(mm)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
435,BOX,Length(mm),"For cars with feature Rain_Sensing_Wipers,the mean Length(mm) is 4655.5389958159 and for the rest of the cars mean Length(mm) is 4082.0501253132834.",./static/img/BOX/Length(mm)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
436,BOX,Width(mm),"For cars with feature Central_Locking,the mean Width(mm) is 1799.307759538598 and for the rest of the cars mean Width(mm) is 1707.221476510067.",./static/img/BOX/Width(mm)_Central_Locking.png,Central_Locking
437,BOX,Width(mm),"For cars with feature Auto-Dimming_Rear-View_Mirror,the mean Width(mm) is 1767.2606707317073 and for the rest of the cars mean Width(mm) is 1811.0852338709676.",./static/img/BOX/Width(mm)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
438,BOX,Width(mm),"For cars with feature Navigation_System,the mean Width(mm) is 1854.4712225475841 and for the rest of the cars mean Width(mm) is 1712.6340640809444.",./static/img/BOX/Width(mm)_Navigation_System.png,Navigation_System
439,BOX,Width(mm),"For cars with feature Second_Row_AC_Vents,the mean Width(mm) is 1848.3249258160238 and for the rest of the cars mean Width(mm) is 1721.6359551495016.",./static/img/BOX/Width(mm)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
440,BOX,Width(mm),"For cars with feature Rain_Sensing_Wipers,the mean Width(mm) is 1893.7172489539748 and for the rest of the cars mean Width(mm) is 1725.562656641604.",./static/img/BOX/Width(mm)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
441,BOX,City_Mileage(km_per_litre),"For cars with feature Central_Locking,the mean City_Mileage(km_per_litre) is 54.74895297249334 and for the rest of the cars mean City_Mileage(km_per_litre) is 30.648322147651008.",./static/img/BOX/City_Mileage(km_per_litre)_Central_Locking.png,Central_Locking
442,BOX,City_Mileage(km_per_litre),"For cars with feature Auto-Dimming_Rear-View_Mirror,the mean City_Mileage(km_per_litre) is 77.27928353658537 and for the rest of the cars mean City_Mileage(km_per_litre) is 25.11848387096774.",./static/img/BOX/City_Mileage(km_per_litre)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
443,BOX,City_Mileage(km_per_litre),"For cars with feature Navigation_System,the mean City_Mileage(km_per_litre) is 32.70062957540264 and for the rest of the cars mean City_Mileage(km_per_litre) is 74.0879258010118.",./static/img/BOX/City_Mileage(km_per_litre)_Navigation_System.png,Navigation_System
444,BOX,City_Mileage(km_per_litre),"For cars with feature Second_Row_AC_Vents,the mean City_Mileage(km_per_litre) is 70.91296735905044 and for the rest of the cars mean City_Mileage(km_per_litre) is 30.686594684385383.",./static/img/BOX/City_Mileage(km_per_litre)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
445,BOX,City_Mileage(km_per_litre),"For cars with feature Rain_Sensing_Wipers,the mean City_Mileage(km_per_litre) is 31.249351464435147 and for the rest of the cars mean City_Mileage(km_per_litre) is 64.32516290726817.",./static/img/BOX/City_Mileage(km_per_litre)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
446,BOX,Ground_Clearance(mm),"For cars with feature Central_Locking,the mean Ground_Clearance(mm) is 180.08961845607809 and for the rest of the cars mean Ground_Clearance(mm) is 176.73154362416108.",./static/img/BOX/Ground_Clearance(mm)_Central_Locking.png,Central_Locking
447,BOX,Ground_Clearance(mm),"For cars with feature Auto-Dimming_Rear-View_Mirror,the mean Ground_Clearance(mm) is 180.11356707317074 and for the rest of the cars mean Ground_Clearance(mm) is 179.25725806451612.",./static/img/BOX/Ground_Clearance(mm)_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
448,BOX,Ground_Clearance(mm),"For cars with feature Navigation_System,the mean Ground_Clearance(mm) is 183.65300146412883 and for the rest of the cars mean Ground_Clearance(mm) is 175.141652613828.",./static/img/BOX/Ground_Clearance(mm)_Navigation_System.png,Navigation_System
449,BOX,Ground_Clearance(mm),"For cars with feature Second_Row_AC_Vents,the mean Ground_Clearance(mm) is 183.33234421364986 and for the rest of the cars mean Ground_Clearance(mm) is 175.62790697674419.",./static/img/BOX/Ground_Clearance(mm)_Second_Row_AC_Vents.png,Second_Row_AC_Vents
450,BOX,Ground_Clearance(mm),"For cars with feature Rain_Sensing_Wipers,the mean Ground_Clearance(mm) is 181.2154811715481 and for the rest of the cars mean Ground_Clearance(mm) is 178.78822055137846.",./static/img/BOX/Ground_Clearance(mm)_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
451,BOX,Seating_Capacity,"For cars with feature Central_Locking,the mean Seating_Capacity is 5.2271517302573205 and for the rest of the cars mean Seating_Capacity is 5.583892617449664.",./static/img/BOX/Seating_Capacity_Central_Locking.png,Central_Locking
452,BOX,Seating_Capacity,"For cars with feature Auto-Dimming_Rear-View_Mirror,the mean Seating_Capacity is 5.219512195121951 and for the rest of the cars mean Seating_Capacity is 5.320967741935484.",./static/img/BOX/Seating_Capacity_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
453,BOX,Seating_Capacity,"For cars with feature Navigation_System,the mean Seating_Capacity is 5.153733528550513 and for the rest of the cars mean Seating_Capacity is 5.401349072512647.",./static/img/BOX/Seating_Capacity_Navigation_System.png,Navigation_System
454,BOX,Seating_Capacity,"For cars with feature Second_Row_AC_Vents,the mean Seating_Capacity is 5.437685459940653 and for the rest of the cars mean Seating_Capacity is 5.079734219269103.",./static/img/BOX/Seating_Capacity_Second_Row_AC_Vents.png,Second_Row_AC_Vents
455,BOX,Seating_Capacity,"For cars with feature Rain_Sensing_Wipers,the mean Seating_Capacity is 5.043933054393306 and for the rest of the cars mean Seating_Capacity is 5.4035087719298245.",./static/img/BOX/Seating_Capacity_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
456,BOX,Wheelbase,"For cars with feature Central_Locking,the mean Wheelbase is 2648.0488021295473 and for the rest of the cars mean Wheelbase is 2506.2147651006712.",./static/img/BOX/Wheelbase_Central_Locking.png,Central_Locking
457,BOX,Wheelbase,"For cars with feature Auto-Dimming_Rear-View_Mirror,the mean Wheelbase is 2606.1173780487807 and for the rest of the cars mean Wheelbase is 2658.3290322580647.",./static/img/BOX/Wheelbase_Auto-Dimming_Rear-View_Mirror.png,Auto-Dimming_Rear-View_Mirror
458,BOX,Wheelbase,"For cars with feature Navigation_System,the mean Wheelbase is 2714.351390922401 and for the rest of the cars mean Wheelbase is 2536.045531197302.",./static/img/BOX/Wheelbase_Navigation_System.png,Navigation_System
459,BOX,Wheelbase,"For cars with feature Second_Row_AC_Vents,the mean Wheelbase is 2729.1706231454004 and for the rest of the cars mean Wheelbase is 2522.1196013289036.",./static/img/BOX/Wheelbase_Second_Row_AC_Vents.png,Second_Row_AC_Vents
460,BOX,Wheelbase,"For cars with feature Rain_Sensing_Wipers,the mean Wheelbase is 2779.215481171548 and for the rest of the cars mean Wheelbase is 2542.997493734336.",./static/img/BOX/Wheelbase_Rain_Sensing_Wipers.png,Rain_Sensing_Wipers
461,BOX,Minimum_Turning_Radius(meter),"For cars with feature Central_Locking,the mean Minimum_Turning_Radius(meter) is 7.852351375332742 and for the rest of the cars mean Minimum_Turning_Radius(meter) is 52.78060402684564.",./static/img/BOX/Minimum_Turning_Radius(meter)_Central_Locking.png,Central_Locking
